name,team,position
Liam Hicks,Canada,C
Bo Naylor,Canada,C
Josh Naylor ,Canada,1B
Edouard Julien ,Canada,2B
Matthew Davidson ,Canada,3B
Abraham Toro ,Canada,3B
Adam Hall ,Canada,SS
Otto López ,Canada,SS
Tyler Black ,Canada,1B
Jared Young ,Canada,OF
Owen Caissie,Canada,OF
Denzel Clarke,Canada,OF
Tyler O’Neill,Canada,OF
Jacob Robson,Canada,OF
Logan Allen ,Canada,P
Micah Ashman ,Canada,P
Antoine Jean ,Canada,P
Adam Macko ,Canada,P
James Paxton ,Canada,P
Matt Wilkinson ,Canada,P
Rob Zastryzny ,Canada,P
Phillippe Aumont ,Canada,P
Jordan Balazovic ,Canada,P
Eric Cerantola ,Canada,P
Indigo Diaz ,Canada,P
Brock Dykxhoorn ,Canada,P
Cal Quantrill ,Canada,P
Noah Skirrow ,Canada,P
Michael Soroka ,Canada,P
Jameson Taillon ,Canada,P
Jorge Alfaro,Colombia,C
Daniel Vellojin,Colombia,C
Carlos Martinez,Colombia,C
Reynaldo Rodríguez ,Colombia,1B
Donovan Solano ,Colombia,1B
Jordan Diaz ,Colombia,2B
Gio Urshela ,Colombia,3B
Michael Arroyo ,Colombia,SS
Dayan Frias ,Colombia,SS
Carlos Arroyo,Colombia,2B
Brayan Buelvas,Colombia,OF
Gustavo Campero,Colombia,OF
Jesús Marriaga,Colombia,OF
Harold Ramírez,Colombia,OF
Adrian Almeida ,Colombia,P
Rio Gomez ,Colombia,P
Yapson Gomez ,Colombia,P
José Quintana ,Colombia,P
Reiver Sanmartín ,Colombia,P
Elkin Alcala ,Colombia,P
Austin Bergner ,Colombia,P
Danis Correa ,Colombia,P
Nabil Crismatt ,Colombia,P
Pedro Garcia ,Colombia,P
Tayron Guerrero ,Colombia,P
David Lorduy ,Colombia,P
Emerson Martinez ,Colombia,P
Luis Patiño ,Colombia,P
Jhon Romero ,Colombia,P
Julio Teherán ,Colombia,P
Guillo Zuñiga ,Colombia,P
Omar Hernandez,Cuba,C
Andrys Pérez,Cuba,C
Malcom Nuñez ,Cuba,1B
Yoel Yanqui ,Cuba,1B
Yiddi Cappe ,Cuba,2B
Yoán Moncada ,Cuba,3B
Ariel Martínez ,Cuba,OF
Erisbel Arruebarruena ,Cuba,SS
Alexei Ramírez ,Cuba,SS
Alexander Vargas ,Cuba,SS
Alfredo Despaigne,Cuba,OF
Yoelquis Guibert,Cuba,OF
Leonel Moas,Cuba,OF
Roel Santos,Cuba,OF
Naykel Cruz ,Cuba,P
Daviel Hurtado ,Cuba,P
Randy Martinez ,Cuba,P
Liván Moinelo ,Cuba,P
Darien Núñez ,Cuba,P
Julio Robaina ,Cuba,P
Frank Alvarez ,Cuba,P
Emmanuel Chapman ,Cuba,P
Josimar Cousin ,Cuba,P
Denny Larrondo ,Cuba,P
Yoan López ,Cuba,P
Raidel Martínez ,Cuba,P
Yariel Rodriguez ,Cuba,P
Osiel Rodriguez ,Cuba,P
Luis Romero Jr. ,Cuba,P
Pedro Santos ,Cuba,P
Miguel Amaya,Panama,C
Leonardo Bernal,Panama,C
Christian Bethancourt,Panama,C
Jonathan Araúz ,Panama,2B
Edmundo Sosa ,Panama,3B
Johan Camargo ,Panama,1B
José Caballero ,Panama,SS
Leo Jiménez ,Panama,SS
Rubén Tejada ,Panama,SS
Enrique Bradfield Jr.,Panama,OF
Jhonny Santos,Panama,OF
Allen Córdoba,Panama,OF
Jose Ramos,Panama,OF
Luis Castillo,Panama,OF
Logan Allen ,Panama,P
Alberto Baldonado ,Panama,P
Miguel Cienfuegos ,Panama,P
James González ,Panama,P
Kenny Hernández ,Panama,P
Andy Otero ,Panama,P
Dario Agrazal ,Panama,P
Jaime Barria ,Panama,P
Paolo Espino ,Panama,P
Jorge García ,Panama,P
Miguel Gómez ,Panama,P
Javy Guerra ,Panama,P
Ariel Jurado ,Panama,P
Humberto Mejía ,Panama,P
Abdiel Mendoza ,Panama,P
Erian Rodríguez ,Panama,P
Martín Maldonado,Puerto Rico,C
Christian Vázquez,Puerto Rico,C
Nolan Arenado ,Puerto Rico,3B
Darrell Hernáiz ,Puerto Rico,SS
Emmanuel Rivera ,Puerto Rico,1B
Edwin Arroyo ,Puerto Rico,2B
Luis Vázquez ,Puerto Rico,SS
Matthew Lugo,Puerto Rico,OF
Willi Castro,Puerto Rico,OF
Carlos Cortes,Puerto Rico,OF
MJ Melendez,Puerto Rico,OF
Bryan Torres,Puerto Rico,OF
Heliot Ramos,Puerto Rico,OF
Eddie Rosario,Puerto Rico,OF
Raymond Burgos ,Puerto Rico,P
Jovani Morán ,Puerto Rico,P
Eduardo Rivera ,Puerto Rico,P
Gabriel Rodríguez ,Puerto Rico,P
Fernando Cruz ,Puerto Rico,P
José De León ,Puerto Rico,P
Edwin Díaz ,Puerto Rico,P
José Espada ,Puerto Rico,P
Rico Garcia ,Puerto Rico,P
Jorge Lopez ,Puerto Rico,P
Seth Lugo ,Puerto Rico,P
Luis Quinones ,Puerto Rico,P
Angel Reyes ,Puerto Rico,P
Yacksel Ríos ,Puerto Rico,P
Elmer Rodríguez ,Puerto Rico,P
Ricardo Velez ,Puerto Rico,P
Gabriel Carmo,Brazil,C
Gabriel Gomes,Brazil,C
Enzo Hayashida,Brazil,C
Matheus Silva,Brazil,C
Dante Bichette Jr. ,Brazil,1B
Vitor Ito ,Brazil,SS
Felipe Koragi ,Brazil,2B
Felipe Mizukosi ,Brazil,3B
Tiago Nishiyama ,Brazil,1B
